title,yr,director,awards,votes,release_year,Total_win,Total_Nominated
Bonkers,1993,N/A,2 wins.,1188,1993,2,0
null,0,null,null,null,0,0,0
Boundin',2003,"Bud Luckey, Roger Gould(co-director)",Nominated for 1 Oscar. Another 1 win.,12312,2004,1,1
Boy Meets World,1993,N/A,5 wins & 17 nominations.,37279,1993,5,17
Brain Games,2011,N/A,Nominated for 1 Primetime Emmy. Another 2 nominations.,2812,2011,0,3
Brave,2012,"Mark Andrews, Brenda Chapman, Steve Purcell(co-director)",Won 1 Oscar. Another 19 wins & 48 nominations.,357239,2012,20,48
The Brave Little Toaster to the Rescue,1997,"Robert C. Ramirez, Patrick A. Ventura",N/A,1201,1999,0,0
Breaking2,2017,Martin Desmond Roe,N/A,42,2017,0,0
null,0,null,null,null,0,0,0
Brink!,0,29 Aug 1998,Jeff Schechter,null,0,0,0
Brother Bear,2003,"Aaron Blaise, Robert Walker",Nominated for 1 Oscar. Another 2 wins & 21 nominations.,92453,2003,2,22
Brother Bear 2,2006,Ben Gluck,2 nominations.,13878,2006,0,2
Buffalo Dreams,2005,David Jackson,3 nominations.,436,2005,0,3
Bug Juice: My Adventures at Camp,2018,N/A,N/A,23,2018,0,0
null,0,null,null,null,0,0,0
Burn-E,2008,Angus MacLane,N/A,9708,2008,0,0
Cadet Kelly,2002,Larry Shaw,N/A,12570,2002,0,0
Camp Nowhere,1994,Jonathan Prince,N/A,8448,1994,0,0
Camp Rock,2008,Matthew Diamond,2 wins & 7 nominations.,28782,2008,2,7
Camp Rock 2: The Final Jam,0,"Comedy, Family, Music, Musical, Romance",USA,5,0,0,0
Can of Worms,1999,Paul Schneider,N/A,756,1999,0,0
Candleshoe,1977,Norman Tokar,N/A,3479,1977,0,0
Canine Caddy,1941,Clyde Geronimi,N/A,269,1941,0,0
null,0,null,null,null,0,0,0
Cars,2006,"John Lasseter, Joe Ranft(co-director)",Nominated for 2 Oscars. Another 28 wins & 32 nominations.,349674,2006,28,34
Cars 2,2011,"John Lasseter, Bradford Lewis(co-director)",Nominated for 1 Golden Globe. Another 1 win & 18 nominations.,150876,2011,1,19
Cars 3,2017,Brian Fee,1 win & 23 nominations.,68243,2017,1,23
null,0,null,null,null,0,0,0
El Materdor,2008,"John Lasseter, Rob Gibbs(co-director), Victor Navone(co-director)",N/A,283,2008,0,0
null,0,null,null,null,0,0,0
null,0,null,null,null,0,0,0
null,0,null,null,null,0,0,0
