title,yr,director,awards,votes,release_year,Total_win,Total_Nominated
High School Musical,2006,Kenny Ortega,Won 2 Primetime Emmys. Another 8 wins & 18 nominations.,77328,2006,10,18
High School Musical 2,2007,Kenny Ortega,Nominated for 2 Primetime Emmys. Another 4 wins & 7 nominations.,52782,2007,4,9
High School Musical 3,2008,Kenny Ortega,8 wins & 9 nominations.,55628,2008,8,9
High School Musical: The Musical - The Series,2019,N/A,1 nomination.,2038,2019,0,1
null,0,null,null,null,0,0,0
High School Musical: The Musical: The Series: The Special,2019,Clayton Cogswell,N/A,14,2019,0,0
Hocus Pocus,1993,Kenny Ortega,2 wins & 11 nominations.,89713,1993,2,11
Holes,2003,Andrew Davis,3 wins & 9 nominations.,74143,2003,3,9
Home Alone 3,1997,Raja Gosnell,3 nominations.,101062,1997,0,3
Home on the Range,2004,"Will Finn, John Sanford",5 nominations.,19123,2004,0,5
Homeward Bound II: Lost in San Francisco,1996,David R. Ellis,3 nominations.,13127,1996,0,3
Homeward Bound: The Incredible Journey,1993,Duwayne Dunham,1 nomination.,40421,1993,0,1
"Honey, I Blew Up the Kid",1992,Randal Kleiser,10 nominations.,39775,1992,0,10
"Honey, I Shrunk the Kids",1989,Joe Johnston,Won 1 BAFTA Film Award. Another 1 win & 10 nominations.,137074,1989,2,10
"Honey, We Shrunk Ourselves!",1997,Dean Cundey,N/A,12439,1997,0,0
Horse Sense,1999,Greg Beeman,1 nomination.,1485,1999,0,1
Hostile Planet,2019,N/A,Nominated for 2 Primetime Emmys. Another 1 nomination.,382,2019,0,3
Hounded,2001,Neal Israel,N/A,894,2001,0,0
How Dogs Got Their Shapes,2016,Keith Haskel,N/A,34,2016,0,0
How to Build a Better Boy,2014,Paul Hoen,2 nominations.,2484,2014,0,2
How to Fish,1942,Jack Kinney,N/A,367,1942,0,0
How to Play Baseball,1942,Jack Kinney,N/A,462,1942,0,0
How to Play Football,1944,Jack Kinney,N/A,826,1944,0,0
How to Swim,1942,Jack Kinney,N/A,386,1942,0,0
Hulk and the Agents of S.M.A.S.H.,2013,N/A,12 nominations.,2473,2013,0,12
I'll Be Home for Christmas,1998,Arlene Sanford,N/A,8812,1998,0,0
Ice Age,2002,"Chris Wedge, Carlos Saldanha(co-director)",Nominated for 1 Oscar. Another 5 wins & 29 nominations.,421204,2002,5,30
Ice Age: The Great Egg-Scapade,2016,"Paul Stodolny, Ricardo Curtis, Steve Martino, Mike Thurmeier",N/A,2814,2016,0,0
Ice Princess,2005,Tim Fywell,N/A,23891,2005,0,0
Imagination Movers,2008,N/A,2 wins & 5 nominations.,682,2008,2,5
null,0,null,null,null,0,0,0
In the Footsteps of Elephant,2020,"Vanessa Berlowitz, Tom Stephens(co-director)",N/A,17,2020,0,0
Incredible! The Story of Dr. Pol,2015,N/A,N/A,null,2015,0,0
null,0,null,null,null,0,0,0
Inside Out,2015,"Pete Docter, Ronnie Del Carmen(co-director)",Won 1 Oscar. Another 97 wins & 114 nominations.,577209,2015,98,114
Inspector Gadget,1999,David Kellogg,1 win & 13 nominations.,43808,1999,1,13
Inspector Gadget 2,2003,Alex Zamm,4 nominations.,5423,2003,0,4
Into the Canyon,2019,Peter McBride,N/A,94,2019,0,0
Into the Okavango,2018,Neil Gelinas,1 win & 2 nominations.,183,2018,1,2
Invincible,2006,Ericson Core,2 nominations.,63682,2006,0,2
Invisible Sister,2015,Paul Hoen,1 nomination.,2240,2015,0,1
Iron Man,1994,N/A,N/A,2638,1994,0,0
Iron Man: Armored Adventures,2008,N/A,N/A,2671,0,0,0
Iron Will,1994,Charles Haid,N/A,7095,1994,0,0
null,0,null,null,null,0,0,0
Jack,1996,Francis Ford Coppola,6 nominations.,54474,1996,0,6
Jack-Jack Attack,2005,Brad Bird,1 win & 1 nomination.,13829,2008,1,1
James and the Giant Peach,1996,Henry Selick,Nominated for 1 Oscar. Another 4 wins & 9 nominations.,57814,1996,4,10
Jane,2017,Brett Morgen,Won 2 Primetime Emmys. Another 34 wins & 37 nominations.,3897,2017,36,37
null,0,null,null,null,0,0,0
Jessie,2011,N/A,2 wins & 12 nominations.,11715,2011,2,12
Episode #2.7,2013,N/A,N/A,null,2013,0,0
John Carter,2012,Andrew Stanton,2 wins & 8 nominations.,248903,2012,2,8
Johnny Kapahala: Back on Board,2007,Eric Bross,2 wins.,1922,2007,2,0
Johnny Tsunami,1999,Steve Boyum,1 nomination.,4615,1999,0,1
Jonas Brothers: The 3D Concert Experience,0,"Documentary, Music",USA,1,0,0,0
Nature Untamed,2008,N/A,N/A,null,0,0,0
Journey to the Center of the Earth,1959,Henry Levin,Nominated for 3 Oscars. Another 1 win & 2 nominations.,15008,1959,1,5
Jump In!,2007,Paul Hoen,2 wins & 2 nominations.,6574,2007,2,2
Jumping Ship,2001,Michael Lange,N/A,1603,2001,0,0
Jungle 2 Jungle,1997,John Pasquin,3 nominations.,22111,1997,0,3
Jungle Cat,1960,James Algar,1 win & 1 nomination.,205,1960,1,1
Justin Morgan Had a Horse,1972,Hollingsworth Morse,N/A,125,1972,0,0
Kazaam,1996,Paul Michael Glaser,2 nominations.,22405,1996,0,2
Kickin' It,2011,N/A,2 wins & 8 nominations.,4372,2011,2,8
Kim Possible,2019,"Zach Lipovsky, Adam B. Stein",N/A,2030,2019,0,0
Kim Possible: So the Drama,2005,Steve Loter,1 nomination.,3728,2005,0,1
null,0,null,null,null,0,0,0
Kingdom of the Blue Whale,2009,N/A,N/A,77,2009,0,0
Kingdom of the White Wolf,2019,N/A,N/A,56,2019,0,0
Kitbull,2019,Rosana Sullivan,Nominated for 1 Oscar. Another 1 win.,3834,2019,1,1
null,0,null,null,null,0,0,0
Kronk's New Groove,2005,"Saul Blinkoff, Elliot M. Bour",8 nominations.,10599,2005,0,8
La Luna,2011,Enrico Casarosa,Nominated for 1 Oscar. Another 1 win & 1 nomination.,12217,2012,1,2
Lab Rats,2012,N/A,1 win & 5 nominations.,4349,0,1,5
Lady and the Tramp,2019,Charlie Bean,4 nominations.,12134,2019,0,4
Lady and the Tramp,1955,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske",Nominated for 1 BAFTA Film Award. Another 1 win & 1 nomination.,116990,1955,1,2
Lady and the Tramp 2: Scamp's Adventure,2001,"Darrell Rooney, Jeannine Roussel(co-director)",1 win & 7 nominations.,9837,2001,1,7
Lambert the Sheepish Lion,1952,Jack Hannah,N/A,1848,1952,0,0
Lamp Life,2020,Valerie LaPointe,N/A,980,2020,0,0
null,0,null,null,null,0,0,0
Lego Frozen Northern Lights,2016,N/A,N/A,401,2016,0,0
Lego Star Wars: All-Stars,2018,N/A,N/A,127,2018,0,0
null,0,null,null,null,0,0,0
Lego Star Wars: Droid Tales,2015,N/A,1 nomination.,617,2015,0,1
LEGO Star Wars: The Resistance Rises,2016,N/A,N/A,17,2016,0,0
Lego Star Wars: The Freemaker Adventures,2016,N/A,1 win & 7 nominations.,680,2016,1,7
null,0,null,null,null,0,0,0
The New Yoda Chronicles: Clash of the Skywalkers,2014,Michael Hegner,N/A,54,2014,0,0
The New Yoda Chronicles: Raid on Coruscant,2014,Michael Hegner,N/A,65,2014,0,0
null,0,null,null,null,0,0,0
The New Yoda Chronicles: Escape from the Jedi Temple,2014,Michael Hegner,N/A,161,2014,0,0
Lego Star Wars: The Yoda Chronicles,2013,N/A,2 nominations.,364,0,0,2
Lemonade Mouth,2011,Patricia Riggen,2 nominations.,13515,2011,0,2
Lend a Paw,1941,Clyde Geronimi,N/A,803,1941,0,0
Leroy & Stitch,2006,"Tony Craig, Roberts Gannaway",1 nomination.,4565,2006,0,1
Let It Shine,2012,Paul Hoen,4 wins & 6 nominations.,2731,2012,4,6
Let's Stick Together,1952,Jack Hannah,N/A,221,1952,0,0
Life Below Zero,2013,N/A,Won 4 Primetime Emmys. Another 5 nominations.,1429,2013,4,5
Life Is Ruff,2005,Charles Haid,N/A,1205,2005,0,0
Life with Mikey,1993,James Lapine,2 wins & 2 nominations.,5221,1993,2,2
Life-Size 2,2018,Steven K. Tsuchida,1 nomination.,727,2018,0,1
Lifted,2006,Gary Rydstrom,N/A,17178,2007,0,0
Lilo & Stitch,2002,"Dean DeBlois, Chris Sanders",Nominated for 1 Oscar. Another 10 wins & 26 nominations.,160264,2002,10,27
Lilo & Stitch: The Series,2003,N/A,2 nominations.,7344,2003,0,2
Lilo & Stitch 2: Stitch Has a Glitch,2005,"Michael LaBash, Tony Leondis",2 wins & 13 nominations.,11210,2005,2,13
Lizzie McGuire,2001,N/A,Nominated for 2 Primetime Emmys. Another 8 wins & 20 nominations.,16649,2001,8,22
Lonesome Ghosts,1937,Burt Gillett,N/A,1838,1937,0,0
Loop,2020,Erica Milsom,N/A,362,2020,0,0
Lost Cities with Albert Lin,2019,N/A,N/A,63,2019,0,0
null,0,null,null,null,0,0,0
Lost Treasures of the Maya,2018,Ben Crichton,N/A,56,2018,0,0
Lou,2017,Dave Mullins,Nominated for 1 Oscar. Another 2 nominations.,5581,2017,0,3
null,0,null,null,null,0,0,0
The Luck of the Irish,2001,Paul Hoen,N/A,6337,2001,0,0
null,0,null,null,null,0,0,0
Playdate with Destiny,2020,David Silverman,N/A,686,2020,0,0
Magician Mickey,1937,David Hand,N/A,818,1937,0,0
null,0,null,null,null,0,0,0
null,0,null,null,null,0,0,0
Man Among Cheetahs,2017,N/A,N/A,15,2017,0,0
Mars Needs Moms,2011,Simon Wells,2 nominations.,20441,2011,0,2
MARS: Inside SpaceX,2018,Julia Reagan,N/A,534,2018,0,0
Marvel 75 Years: From Pulp to Pop!,2014,Zak Knutson,N/A,594,2014,0,0
Spider-Man: The Animated Series,1994,N/A,4 nominations.,24829,1994,0,4
The Incredible Hulk,1996,N/A,1 win.,2643,1996,1,0
X-Men: The Animated Series,1992,N/A,N/A,36206,1992,0,0
Marvel Rising: Battle of the Bands,2019,N/A,N/A,85,2019,0,0
Marvel Rising: Chasing Ghosts,2019,Alfred Gimeno,N/A,242,2019,0,0
Marvel Rising: Heart of Iron,2019,"Sol Choi, Alfred Gimeno",N/A,306,2019,0,0
Marvel Rising: Initiation,2018,N/A,N/A,255,2018,0,0
Marvel Rising: Operation Shuri,2019,"Chris Rutkowski, Eric Radomski",N/A,null,2019,0,0
Marvel Rising: Playing with Fire,2019,"Sol Choi, Eric Radomski",N/A,61,2019,0,0
Marvel Rising: Secret Warriors,2018,"Alfred Gimeno, Eric Radomski",N/A,854,2018,0,0
Marvel Studios: Assembling a Universe,2014,N/A,N/A,936,2014,0,0
null,0,null,null,null,0,0,0
Ant-Man,2015,Peyton Reed,Nominated for 1 BAFTA Film Award. Another 3 wins & 33 nominations.,540523,2015,3,34
Avengers: Age of Ultron,2015,Joss Whedon,8 wins & 47 nominations.,711205,2015,8,47
Avengers: Endgame,2019,"Anthony Russo, Joe Russo",Nominated for 1 Oscar. Another 64 wins & 102 nominations.,694527,2019,64,103
Black Panther,2018,Ryan Coogler,Won 3 Oscars. Another 108 wins & 265 nominations.,579293,2018,111,265
Captain America: Civil War,2016,"Anthony Russo, Joe Russo",16 wins & 68 nominations.,628016,2016,16,68
Captain America: The First Avenger,2011,Joe Johnston,4 wins & 46 nominations.,711603,2011,4,46
Captain America: The Winter Soldier,2014,"Anthony Russo, Joe Russo",Nominated for 1 Oscar. Another 5 wins & 50 nominations.,706555,2014,5,51
Captain Marvel,2019,"Anna Boden, Ryan Fleck",7 wins & 43 nominations.,406778,2019,7,43
Doctor Strange,2016,Scott Derrickson,Nominated for 1 Oscar. Another 20 wins & 65 nominations.,562696,2016,20,66
Guardians of the Galaxy,2014,James Gunn,Nominated for 2 Oscars. Another 52 wins & 100 nominations.,1007917,2014,52,102
Guardians of the Galaxy Vol. 2,2017,James Gunn,Nominated for 1 Oscar. Another 15 wins & 56 nominations.,537920,2017,15,57
Iron Man,2008,Jon Favreau,Nominated for 2 Oscars. Another 21 wins & 65 nominations.,910300,2008,21,67
Iron Man 2,2010,Jon Favreau,Nominated for 1 Oscar. Another 7 wins & 43 nominations.,693517,2010,7,44
Iron Man 3,2013,Shane Black,USA,7,2013,0,0
The Avengers,2012,Joss Whedon,Nominated for 1 Oscar. Another 38 wins & 79 nominations.,1225316,2012,38,80
Thor,2011,Kenneth Branagh,5 wins & 30 nominations.,717145,2011,5,30
Thor: Ragnarok,2017,Taika Waititi,6 wins & 48 nominations.,542938,2017,6,48
Thor: The Dark World,2013,Alan Taylor,3 wins & 21 nominations.,571192,2013,3,21
Marvel Super Hero Adventures,2017,N/A,3 nominations.,63,2017,0,3
Ultimate Spider-Man,2012,N/A,9 nominations.,9725,2012,0,9
Agent Carter,2015,N/A,14 nominations.,69458,2015,0,14
Ant-Man,2017,N/A,N/A,246,2017,0,0
Avengers Assemble,2013,N/A,11 nominations.,6168,2013,0,11
null,0,null,null,null,0,0,0
Marvel Future Avengers,2017,N/A,N/A,75,2017,0,0
Guardians of the Galaxy,2015,N/A,2 wins & 2 nominations.,2520,2015,2,2
null,0,null,null,null,0,0,0
Marvel's Hero Project,2019,N/A,N/A,97,2019,0,0
Inhumans,2017,N/A,N/A,20672,2017,0,0
Iron Man & Hulk: Heroes United,2013,"Eric Radomski, Leo Riley",N/A,2012,2013,0,0
Rocket & Groot,2017,N/A,N/A,160,2017,0,0
Runaways,2017,N/A,3 wins & 4 nominations.,20241,2017,3,4
Spider-Man,2017,N/A,1 nomination.,1440,2017,0,1
null,0,null,null,null,0,0,0
null,0,null,null,null,0,0,0
Mary Poppins,1964,Robert Stevenson,Won 5 Oscars. Another 15 wins & 17 nominations.,151417,1965,20,17
Mater and the Ghostlight,2006,"John Lasseter, Dan Scanlon(co-director)",N/A,7151,2006,0,0
Meet the Deedles,1998,Steve Boyum,1 win & 2 nominations.,2567,1998,1,2
Meet the Robinsons,2007,Stephen J. Anderson,USA,6,2007,0,0
Melody Time,1948,"Clyde Geronimi, Wilfred Jackson, Jack Kinney, Hamilton Luske",1 win.,4534,1948,1,0
null,0,null,null,null,0,0,0
Mickey Mouse,2013,N/A,Won 7 Primetime Emmys. Another 23 wins & 30 nominations.,1772,2013,30,30
The Mickey Mouse Club,1955,N/A,Won 1 Golden Globe. Another 1 nomination.,609,1955,1,1
Mickey Mouse Mixed-Up Adventures,2017,N/A,4 nominations.,335,2017,0,4
"Mickey, Donald, Goofy: The Three Musketeers",2004,Donovan Cook,1 win & 5 nominations.,7496,2004,1,5
Mickey's Birthday Party,1942,Riley Thomson,N/A,607,1942,0,0
Mickey's Christmas Carol,1983,"Burny Mattinson, Richard Rich", Don Griffith (story adaptation),null,1983,0,0
null,0,null,null,null,0,0,0
Mickey's Once Upon a Christmas,1999,"Jun Falkenstein, Alex Mann, Bradley Raymond, Toby Shelton, Bill Speers", Richard Cray (screenplay),null,1999,0,0
Mickey's Rival,1936,Wilfred Jackson,N/A,533,1936,0,0
Mickey's Trailer,1938,Ben Sharpsteen,N/A,2542,1938,0,0
Mickey's Twice Upon a Christmas,2004,"Carole Holliday, Matthew O'Callaghan, Theresa Cullen",1 win & 3 nominations.,3756,2004,1,3
Mighty Joe Young,1998,Ron Underwood,Nominated for 1 Oscar. Another 1 win & 3 nominations.,26795,1998,1,4
Mike's New Car,2002,"Pete Docter, Roger Gould",N/A,11759,2002,0,0
Mission Force One,2015,N/A,1 win & 4 nominations.,416,2015,1,4
Millions,2004,Danny Boyle,2 wins & 7 nominations.,24147,2005,2,7
Minutemen,2008,Lev L. Spiro,5 nominations.,5182,2008,0,5
Miracle,2004,Gavin O'Connor,2 wins & 4 nominations.,45667,2004,2,4
Miracle at Midnight,1998,Ken Cameron,3 wins & 1 nomination.,293,1998,3,1
Miracle in Lane 2,2000,Greg Beeman,3 wins & 3 nominations.,1835,2000,3,3
Miracle Landing on the Hudson,2014,Simon George,N/A,67,2014,0,0
Miracle on 34th Street,1947,George Seaton,Won 3 Oscars. Another 5 wins & 1 nomination.,38715,1947,8,1
Mission to the Sun,2018,Daniel M. Smith,N/A,51,2018,0,0
Moana,2016,"Ron Clements, John Musker, Don Hall(co-director), Chris Williams(co-director)",Nominated for 2 Oscars. Another 20 wins & 86 nominations.,250176,2016,20,88
Mom's Got a Date with a Vampire,2000,Steve Boyum,1 win & 3 nominations.,3300,2000,1,3
Monsters University,0,"Animation, Adventure, Comedy, Family, Fantasy",USA,7,0,0,0
"Monsters, Inc.",2001,"Pete Docter, David Silverman(co-director), Lee Unkrich(co-director)",Won 1 Oscar. Another 14 wins & 38 nominations.,779728,2001,15,38
Motocrossed,2001,Steve Boyum,3 nominations.,4203,2001,0,3
Mr. Boogedy,1986,Oz Scott,2 nominations.,1173,1986,0,2
Mr. Duck Steps Out,1940,Jack King,N/A,511,1940,0,0
Mr. Mouse Takes a Trip,1940,Clyde Geronimi,N/A,557,1940,0,0
Mulan,1998,"Tony Bancroft, Barry Cook",Nominated for 1 Oscar. Another 17 wins & 20 nominations.,237755,1998,17,21
Mulan II,2004,"Darrell Rooney, Lynne Southerland",1 nomination.,20851,2004,0,1
Muppet Babies,2018,N/A,1 win & 6 nominations.,329,2018,1,6
null,0,null,null,null,0,0,0
Muppet Moments,2015,N/A,N/A,6,2015,0,0
Muppet Treasure Island,1996,"Brian Henson, David Lane",5 nominations.,20293,1996,0,5
Muppets Most Wanted,2014,James Bobin,3 wins & 11 nominations.,30336,2014,3,11
"My Dog, the Thief: Part 1",1969,Robert Stevenson,N/A,77,1969,0,0
My Favorite Martian,1999,Donald Petrie,3 nominations.,12448,1999,0,3
My Friends Tigger & Pooh,2007,N/A,1 win & 9 nominations.,363,2007,1,9
National Treasure,2004,Jon Turteltaub,1 win & 9 nominations.,295236,2004,1,9
National Treasure: Book of Secrets,2007,Jon Turteltaub,1 win & 5 nominations.,212576,2007,1,5
Nature's Half Acre,1951,James Algar,Won 1 Oscar. Another 1 nomination.,86,1951,1,1
Newsies,1992,Kenny Ortega,1 win & 6 nominations.,18094,1992,1,6
Disney's Newsies: The Broadway Musical!,2017,"Jeff Calhoun, Brett Sullivan",N/A,1703,2017,0,0
Noelle,2019,Marc Lawrence,N/A,9752,2019,0,0
Now You See It...,2005,Duwayne Dunham,N/A,2047,2005,0,0
Olaf's Frozen Adventure,2017,"Kevin Deters, Stevie Wermers",3 nominations.,10650,2017,0,3
Old Dogs,2009,Walt Becker,5 nominations.,35534,2009,0,5
Old Yeller,1957,Robert Stevenson,2 wins.,11270,1959,2,0
Oliver & Company,1988,George Scribner, Steve Hulett (additional story material),null,1988,0,0
On Ice,1935,Ben Sharpsteen,N/A,1056,1935,0,0
Once Upon a Mattress,0,"November 12, 2019","Carol Burnett, Tracey Ullman, Denis O'Hare, Zooey Deschanel",null,0,0,0
One Day at Disney,2019,N/A,N/A,155,2019,0,0
null,0,null,null,null,0,0,0
One Hundred and One Dalmatians,1961,"Clyde Geronimi, Hamilton Luske, Wolfgang Reitherman",Won 1 BAFTA Film Award. Another 2 nominations.,146668,1961,1,2
One Magic Christmas,1985,Phillip Borsos,2 wins & 7 nominations.,2977,1985,2,7
One Man Band,2005,"Mark Andrews, Andrew Jimenez",N/A,13993,2006,0,0
One Strange Rock,2018,N/A,1 win & 3 nominations.,5420,2018,1,3
Onward,2020,Dan Scanlon,1 win.,45444,2020,1,0
Operation Dumbo Drop,1995,Simon Wincer,N/A,8265,1995,0,0
Origins: The Journey of Humankind,2017,N/A,N/A,344,2017,0,0
Out of Scale,1951,Jack Hannah,N/A,504,1951,0,0
Out of the Box,1998,N/A,1 nomination.,814,1998,0,1
Out There with Jack Randall,2019,N/A,N/A,5,2019,0,0
null,0,null,null,null,0,0,0
Paris to Pittsburgh,2018,"Sidney Beaumont, Michael Bonfiglio",N/A,9,2018,0,0
Partly Cloudy,0,"Animation, Short, Comedy, Family, Fantasy",USA,8,0,0,0
Party Central,2014,Kelsey Mann,N/A,1480,2014,0,0
Penguins: Life on the Edge,2020,"Alastair Fothergill, Jeff Wilson",N/A,6,2020,0,0
Perri,1957,"Paul Kenworthy, Ralph Wright",Nominated for 1 Oscar. Another 1 win.,272,1957,1,1
Pete's Dragon,1977,"Don Chaffey, Don Bluth",Nominated for 2 Oscars. Another 4 nominations.,21558,1977,0,6
Pete's Dragon,2016,David Lowery,3 wins & 7 nominations.,52020,2016,3,7
Peter Pan,1953,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske, Jack Kinney",2 nominations.,120707,1953,0,2
Peter Pan 2: Return to Never Land,2002,"Robin Budd, Donovan Cook(co-director)",4 nominations.,17404,2002,0,4
Phantom of the Megaplex,2000,Blair Treu,3 nominations.,2570,2000,0,3
Phil of the Future,2004,N/A,6 nominations.,6479,2004,0,6
Phineas and Ferb,2007,N/A,Won 3 Primetime Emmys. Another 1 win & 40 nominations.,31287,2007,4,40
Phineas and Ferb the Movie: Across the 2nd Dimension,2011,"Robert Hughes, Dan Povenmire, Jay Lender, Jeff 'Swampy' Marsh, Kyle Menke",Nominated for 1 Primetime Emmy. Another 3 wins & 3 nominations.,7624,2011,3,4
Phineas and Ferb: Mission Marvel,2013,"Robert Hughes, Sue Perrotto",N/A,419,2013,0,0
Pick of the Litter,2019,N/A,N/A,null,2019,0,0
Piglet's Big Movie,2003,Francis Glebas,1 nomination.,6519,2003,0,1
Pinocchio,1940,"Norman Ferguson, T. Hee, Wilfred Jackson, Jack Kinney, Hamilton Luske, Bill Roberts, Ben Sharpsteen",Won 2 Oscars. Another 4 wins.,124261,1940,6,0
Piper,2016,Alan Barillaro,Won 1 Oscar. Another 1 win & 1 nomination.,24041,2016,2,1
Pirates of the Caribbean: At World's End,2007,Gore Verbinski,Nominated for 2 Oscars. Another 20 wins & 44 nominations.,577465,2007,20,46
Pirates of the Caribbean: Dead Man's Chest,2006,Gore Verbinski,Won 1 Oscar. Another 43 wins & 53 nominations.,635041,2006,44,53
Pirates of the Caribbean: On Stranger Tides,2011,Rob Marshall,3 wins & 31 nominations.,465510,2011,3,31
Pirates of the Caribbean: The Curse of the Black Pearl,0,"November 12, 2019","Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley",null,0,0,0
Pixar in Real Life,2019,N/A,N/A,193,2019,0,0
Pixel Perfect,2004,Mark A.Z. Dippé,N/A,3085,2004,0,0
PJ Masks,2015,N/A,2 wins & 6 nominations.,696,2015,2,6
null,0,null,null,null,0,0,0
null,0,null,null,null,0,0,0
Pluto's Christmas Tree,1952,Jack Hannah,N/A,2023,1952,0,0
Pluto's Party,1952,Milt Schaffer,N/A,383,1952,0,0
Pluto's Purchase,1948,Charles A. Nichols,N/A,138,1948,0,0
null,0,null,null,null,0,0,0
null,0,null,null,null,0,0,0
Pocahontas,1995,"Mike Gabriel, Eric Goldberg",Won 2 Oscars. Another 13 wins & 7 nominations.,163209,1995,15,7
Pocahontas II: Journey to a New World,1998,"Tom Ellery, Bradley Raymond",1 nomination.,13201,1998,0,1
Pollyanna,1960,David Swift,Won 1 Golden Globe. Another 1 win & 1 nomination.,8533,1960,2,1
Pooh's Grand Adventure: The Search for Christopher Robin,1997,Karl Geurs,5 nominations.,4850,1997,0,5
Pooh's Heffalump Movie,2005,Frank Nissen,1 nomination.,6031,2005,0,1
null,0,null,null,null,0,0,0
Presto,2008,Doug Sweetland,Nominated for 1 Oscar. Another 1 nomination.,21778,2008,0,2
Primal Survivor,2016,N/A,N/A,163,2016,0,0
Princess Protection Program,2009,Allison Liddi-Brown,3 wins & 3 nominations.,20758,2009,3,3
Prom,2011,Joe Nussbaum,1 nomination.,14569,2011,0,1
Prowlers of the Everglades,1953,James Algar,N/A,42,1953,0,0
Puppy Dog Pals,2017,N/A,1 win & 2 nominations.,611,2017,1,2
Purl,2018,Kristen Lester,1 win & 1 nomination.,1158,2019,1,1
Quack Pack,1996,N/A,N/A,3478,1996,0,0
Queen of Katwe,2016,Mira Nair,2 wins & 20 nominations.,14265,2016,2,20
Quints,2000,Bill Corcoran,2 nominations.,2030,2000,0,2
Ratatouille,2007,"Brad Bird, Jan Pinkava(co-director)",Won 1 Oscar. Another 66 wins & 42 nominations.,612483,2007,67,42
Read It and Weep,2006,Paul Hoen,2 nominations.,4915,2006,0,2
Ready to Run,2000,Duwayne Dunham,1 nomination.,282,2000,0,1
Recess: All Growed Down,2003,"Howy Parkins, Brenda Piluso, Chuck Sheetz",N/A,571,2003,0,0
Recess: School's Out,2001,Chuck Sheetz,N/A,9032,2001,0,0
Recess: Taking the Fifth Grade,2003,Howy Parkins,N/A,1759,2003,0,0
Red Tails,2012,Anthony Hemingway,2 wins & 9 nominations.,32647,2012,2,9
Red's Dream,1987,John Lasseter,N/A,6019,1987,0,0
Remember the Titans,2000,Boaz Yakin,8 wins & 18 nominations.,190945,2000,8,18
null,0,null,null,null,0,0,0
Return from Witch Mountain,1978,John Hough,N/A,4201,1978,0,0
Return to Halloweentown,2006,David Jackson,Nominated for 1 Primetime Emmy. Another 2 nominations.,5338,2006,0,3
Return to Oz,1985,Walter Murch,Nominated for 1 Oscar. Another 5 nominations.,23581,1985,0,6
Richie Rich's Christmas Wish,1998,John Murlowski,N/A,1960,1998,0,0
Right on Track,2003,Duwayne Dunham,N/A,1087,2003,0,0
null,0,null,null,null,0,0,0
Rip Girls,2000,Joyce Chopra,2 nominations.,1135,2000,0,2
Robin Hood,1973,"Wolfgang Reitherman, David Hand",Nominated for 1 Oscar. Another 1 win & 1 nomination.,110712,1973,1,2
Rocky Mountain Animal Rescue,2018,N/A,N/A,5,2018,0,0
Rogue One: A Star Wars Story,2016,Gareth Edwards,Nominated for 2 Oscars. Another 24 wins & 80 nominations.,526836,2016,24,82
Rookie of the Year,1993,Daniel Stern,1 win & 1 nomination.,23711,1993,1,1
Roving Mars,2006,George Butler,1 win & 1 nomination.,968,2006,1,1
Ruby Bridges,1998,Euzhan Palcy,4 wins & 4 nominations.,607,1998,4,4
Running Wild with Bear Grylls,2014,N/A,N/A,2122,2014,0,0
Sacred Planet,2004,Jon Long,N/A,259,2004,0,0
Saludos Amigos,1942,"Wilfred Jackson, Jack Kinney, Hamilton Luske, Bill Roberts, Norman Ferguson",Nominated for 3 Oscars. Another 1 win.,4784,1943,1,3
"Sammy, the Way-Out Seal: Part 1",1962,Norman Tokar,N/A,140,1962,0,0
Sanjay's Super Team,2015,Sanjay Patel,Nominated for 1 Oscar. Another 2 nominations.,3879,2015,0,3
Santa Paws 2: The Santa Pups,2012,Robert Vince,1 win.,1100,2012,1,0
Santa's Workshop,1932,Wilfred Jackson,N/A,1320,1932,0,0
Saving Mr. Banks,2013,John Lee Hancock,Nominated for 1 Oscar. Another 14 wins & 72 nominations.,147182,2013,14,73
Science Fair,2018,"Cristina Costantini, Darren Foster",N/A,331,2018,0,0
Sea of Hope: America's Underwater Treasures,2017,Robert Nixon,N/A,null,2017,0,0
Sea Scouts,1939,Dick Lundy,N/A,556,1939,0,0
Secret of the Wings,2012,"Roberts Gannaway, Peggy Holmes",1 win & 5 nominations.,10155,2012,1,5
Secretariat,2010,Randall Wallace,4 wins & 6 nominations.,25455,2010,4,6
The Secret of Christ's Tomb,2017,Robert Strange,N/A,7,2017,0,0
Secrets of Life,1956,James Algar,1 win.,126,1956,1,0
Secrets of the King Cobra,2010,N/A,N/A,6,2010,0,0
Secrets of the Zoo,2018,N/A,N/A,76,2018,0,0
null,0,null,null,null,0,0,0
Shake It Up,2010,N/A,3 wins & 18 nominations.,10911,2010,3,18
Sharks of Lost Island,2013,Neil Gelinas,N/A,null,2013,0,0
Sharpay's Fabulous Adventure,2011,Michael Lembeck,1 nomination.,5651,2011,0,1
Sheriff Callie's Wild West,2014,N/A,4 nominations.,503,2014,0,4
Shipwrecked,1990,Nils Gaup,3 nominations.,2364,1991,0,3
Shop Class,2020,N/A,N/A,16,2020,0,0
Silver Surfer,1998,N/A,1 nomination.,1778,1998,0,1
